Unnamed: 0,Airlines,Sources,Destinations,Duration,Total Stops,Date,Departure Time,Arrival Time,Prices
132,SpiceJet,BOM,DEL,8h 25m,1 stop,2024-06-22,05:50,14:15,"₹ 27,897"
133,Vistara,BOM,DEL,8h 50m,1 stop,2024-06-22,13:50,22:40,"₹ 28,473"
134,SpiceJet,BOM,DEL,8h 30m,1 stop,2024-06-22,12:25,20:55,"₹ 28,785"
135,Air India,BOM,DEL,8h 25m,2 stops,2024-06-22,10:05,18:30,"₹ 30,174"
136,SpiceJet,BOM,DEL,6h 35m,1 stop,2024-06-22,14:20,20:55,"₹ 31,687"
137,Air India,BOM,DEL,7h 15m,1 stop,2024-06-22,16:40,23:55,"₹ 32,082"
138,Air India,BOM,DEL,5h 40m,1 stop,2024-06-22,16:40,22:20,"₹ 33,436"
139,Vistara,BOM,DEL,8h 50m,2 stops,2024-06-22,11:25,20:15,"₹ 33,864"
140,SpiceJet,BOM,DEL,7h 40m,1 stop,2024-06-22,05:50,13:30,"₹ 34,406"
141,"Vistara, Air India",BOM,DEL,7h 25m,1 stop,2024-06-22,15:35,23:00,"₹ 40,353"
142,Air India,BOM,DEL,8h 25m,1 stop,2024-06-22,10:05,18:30,"₹ 40,645"
143,Vistara,BOM,DEL,7h 05m,1 stop,2024-06-22,09:40,16:45,"₹ 41,849"
144,Etihad Airways,BOM,DEL,8h 40m,1 stop,2024-06-22,10:55,19:35,"₹ 45,403"
145,Air India,BOM,DEL,9h 05m,1 stop,2024-06-22,09:25,18:30,"₹ 47,124"
146,"Air India, Vistara",BOM,DEL,4h 55m,1 stop,2024-06-22,05:30,10:25,"₹ 51,615"
147,Air India,BOM,DEL,6h 00m,1 stop,2024-06-22,06:40,12:40,"₹ 52,162"
148,Air India,BOM,DEL,6h 05m,1 stop,2024-06-22,04:00,10:05,"₹ 52,162"
149,Air India,BOM,DEL,6h 45m,1 stop,2024-06-22,09:25,16:10,"₹ 52,162"
150,Air India,BOM,DEL,7h 55m,1 stop,2024-06-22,06:40,14:35,"₹ 52,162"
151,Air India,BOM,DEL,8h 40m,1 stop,2024-06-22,04:00,12:40,"₹ 52,162"
152,Etihad Airways,BOM,DEL,8h 50m,1 stop,2024-06-22,23:05,07:55+1,"₹ 52,562"
153,"Vistara, Air India",BOM,DEL,6h 40m,1 stop,2024-06-22,09:40,16:20,"₹ 55,500"
154,"Air India, Vistara",BOM,DEL,5h 30m,1 stop,2024-06-22,11:15,16:45,"₹ 56,771"
155,"Vistara, Air India",BOM,DEL,5h 15m,1 stop,2024-06-22,15:05,20:20,"₹ 57,506"
156,"Vistara, Air India",BOM,DEL,6h 10m,1 stop,2024-06-22,06:20,12:30,"₹ 57,506"
157,"Air India, Vistara",BOM,DEL,5h 35m,1 stop,2024-06-22,05:55,11:30,"₹ 57,673"
158,"Air India, Vistara",BOM,DEL,4h 55m,1 stop,2024-06-22,15:00,19:55,"₹ 58,997"
159,"Vistara, Air India",BOM,DEL,7h 00m,1 stop,2024-06-22,16:45,23:45,"₹ 59,911"
160,"Vistara, Air India",BOM,DEL,5h 25m,1 stop,2024-06-22,11:25,16:50,"₹ 59,921"
161,"Vistara, Air India",BOM,DEL,6h 20m,1 stop,2024-06-22,06:10,12:30,"₹ 62,790"
162,"Vistara, Air India",BOM,DEL,6h 25m,1 stop,2024-06-22,10:45,17:10,"₹ 62,790"
163,"Vistara, Air India",BOM,DEL,8h 05m,1 stop,2024-06-22,10:45,18:50,"₹ 62,811"
164,"Vistara, Air India",BOM,DEL,5h 30m,1 stop,2024-06-22,09:05,14:35,"₹ 69,024"
165,"Vistara, Air India",BOM,DEL,5h 40m,1 stop,2024-06-22,07:00,12:40,"₹ 69,287"
166,"Vistara, Air India",BOM,DEL,6h 25m,1 stop,2024-06-22,17:30,23:55,"₹ 71,364"
167,"Vistara, Air India",BOM,DEL,6h 40m,1 stop,2024-06-22,06:00,12:40,"₹ 71,364"
168,"Vistara, Air India",BOM,DEL,8h 35m,1 stop,2024-06-22,06:00,14:35,"₹ 71,384"
169,"Vistara, Air India",BOM,DEL,6h 20m,1 stop,2024-06-22,16:00,22:20,"₹ 71,476"
170,"Vistara, Air India",BOM,DEL,7h 05m,1 stop,2024-06-22,09:05,16:10,"₹ 71,496"
